model,id,quales_id,quales_split,assertion,input,goal,target_word,predicted_word,exact_match,raw_prediction,predicted_token_ids,prediction_truncated
charruaLLM,32,177,dev_gold,La primera muerte por coronavirus en Brasil ocurrió en 2020.,La primera muerte por coronavirus en Brasil ocurrió en, 2020,2020,el,False, el,[286],False
charruaLLM,33,181,dev_gold,La Agencia Nacional de Seguridad Vial aumentó los controles para desalentar el turismo.,La Agencia Nacional de Seguridad Vial aumentó los controles para desalentar el, turismo,turismo,uso,False, uso,[2663],False
charruaLLM,34,184,dev_gold,El lanzamiento de la aplicación fue a las 19:30 horas.,El lanzamiento de la aplicación fue a las 19:30, horas,horas,"horas,",False," horas,","[1074, 12]",False
charruaLLM,35,186,dev_gold,"Inicialmente, la tecnología de alertas de exposición se probó en cuatro países.","Inicialmente, la tecnología de alertas de exposición se probó en cuatro", países,países,países:,False, países:,"[1170, 26]",False
charruaLLM,36,187,dev_gold,La Tabaré se presentó en la cárcel de Punta de Rieles.,La Tabaré se presentó en la cárcel de Punta de, Rieles,Rieles,"Rieles,",False," Rieles,","[1924, 5534, 12]",False
charruaLLM,37,191,dev_gold,La Tabaré tocó arriba del ring de boxeo del gimnasio del Polo Industrial de la cárcel de Punta de Rieles.,La Tabaré tocó arriba del ring de boxeo del gimnasio del Polo Industrial de la cárcel de Punta de, Rieles,Rieles,Rieles,True, Rieles.,"[1924, 5534, 14]",False
charruaLLM,38,201,dev_gold,Lo primero que se debía hacer para combatir el covid-19 era cumplir y apoyar las medidas del gobierno.,Lo primero que se debía hacer para combatir el covid-19 era cumplir y apoyar las medidas del, gobierno,gobierno,gobierno,True, gobierno,[823],False
charruaLLM,39,206,dev_gold,La pandemia del coronavirus está afectando al mundo entero.,La pandemia del coronavirus está afectando al mundo, entero,entero,",",False,",",[12],False
charruaLLM,40,209,dev_gold,Gustavo Leal es el ex director de Convivencia y Seguridad Ciudadana del Ministerio del Interior.,Gustavo Leal es el ex director de Convivencia y Seguridad Ciudadana del Ministerio del, Interior,Interior,Interior,True, Interior.,"[2760, 14]",False
charruaLLM,41,210,dev_gold,La decisión de la cuarentena general y estricta en Europa se tomó cuando la situación desbordó los servicios de salud.,La decisión de la cuarentena general y estricta en Europa se tomó cuando la situación desbordó los servicios de, salud,salud,transporte,False, transporte,[4145],False
charruaLLM,42,211,dev_gold,"La cuarentena general y estricta implica claridad en las actividades autorizadas, control y sanciones en caso de incumplimiento.","La cuarentena general y estricta implica claridad en las actividades autorizadas, control y sanciones en caso de", incumplimiento,incumplimiento,que,False, que,[284],False
charruaLLM,43,214,dev_gold,Los habitantes de Sydney podían alejarse hasta 10 kilómetros de sus casas.,Los habitantes de Sydney podían alejarse hasta 10 kilómetros de sus, casas,casas,"casas,",False," casas,","[5038, 12]",False
charruaLLM,44,232,dev_gold,Las policlínicas estuvieron cerradas desde que se conocieron los primeros casos de covid-19.,Las policlínicas estuvieron cerradas desde que se conocieron los primeros casos de, covid-19,covid-19,coronavirus,False, coronavirus,"[16045, 341, 4503]",False
charruaLLM,45,236,dev_gold,Sumefac es la sigla de la Sociedad Uruguaya de Medicina Familiar y Comunitaria.,Sumefac es la sigla de la Sociedad Uruguaya de Medicina Familiar y, Comunitaria,Comunitaria,Pediátrica,False, Pediátrica,"[1116, 293, 294, 10215]",False
charruaLLM,46,24,dev_gold,Las clases se suspendieron a causa de la pandemia.,Las clases se suspendieron a causa de la, pandemia,pandemia,pandemia,True, pandemia.,"[2172, 7461, 14]",False
charruaLLM,47,241,dev_gold,Las partidas se financiaron por medio de la recaudación del Impuesto de Primaria.,Las partidas se financiaron por medio de la recaudación del Impuesto de, Primaria,Primaria,Asistencia,False, Asistencia,"[14027, 10102]",False
charruaLLM,48,243,dev_gold,"La investigación sobre anticuerpos fue realizada por una subsidiaria de la farmacéutica estatal Sinopharm, que produce dos de las vacunas aprobadas por el Gobierno chino, y el Centro Nacional de Investigación de Medicina Traslacional de la Universidad de Jiaotong.","La investigación sobre anticuerpos fue realizada por una subsidiaria de la farmacéutica estatal Sinopharm, que produce dos de las vacunas aprobadas por el Gobierno chino, y el Centro Nacional de Investigación de Medicina Traslacional de la Universidad de", Jiaotong,Jiaotong,Wuhan,False, Wuhan.,"[870, 85, 4139, 14]",False
charruaLLM,49,248,dev_gold,RBDIgG es un tipo de anticuerpo que indica la fortaleza de la inmunidad contra el coronavirus.,RBDIgG es un tipo de anticuerpo que indica la fortaleza de la inmunidad contra el, coronavirus,coronavirus,virus,False, virus.,"[8069, 14]",False
charruaLLM,50,251,dev_gold,El PIT-CNT exigió una renta básica para los afectados por la crisis no comprendidos en la red de protección social.,El PIT-CNT exigió una renta básica para los afectados por la crisis no comprendidos en la red de protección, social,social,de,False, de,[259],False
charruaLLM,51,252,dev_gold,El PIT-CNT exigió una renta básica para aquellos afectados por la crisis que no estuvieran comprendidos en la red de protección social.,El PIT-CNT exigió una renta básica para aquellos afectados por la crisis que no estuvieran comprendidos en la red de protección, social,social,social,True, social.,"[1831, 14]",False
charruaLLM,52,253,dev_gold,El PIT-CNT es la central de trabajadores.,El PIT-CNT es la central de, trabajadores,trabajadores,trabajadores,True, trabajadores,[1852],False
charruaLLM,53,254,dev_gold,"El PIT-CNT reclamó flexibilizaciones en los vencimientos de las tarifas públicas, tributos, alquileres y tarjetas de crédito.","El PIT-CNT reclamó flexibilizaciones en los vencimientos de las tarifas públicas, tributos, alquileres y tarjetas de", crédito,crédito,crédito,True, crédito.,"[4550, 14]",False
charruaLLM,54,26,dev_gold,La suspensión de clases rigió hasta que terminaron las vacaciones de turismo.,La suspensión de clases rigió hasta que terminaron las vacaciones de, turismo,turismo,julio,False, julio.,"[2417, 14]",False
charruaLLM,55,261,dev_gold,Las casas de lotería fueron incluidas en la lista de servicios públicos y actividades esenciales mediante un decreto de Jair Bolsonaro.,Las casas de lotería fueron incluidas en la lista de servicios públicos y actividades esenciales mediante un decreto de Jair, Bolsonaro,Bolsonaro,Bolsonaro,True, Bolsonaro.,"[4546, 607, 4524, 14]",False
charruaLLM,56,269,dev_gold,La OMS y el Banco Mundial convocaron a la Junta de Vigilancia Mundial de la Preparación ante Crisis Sanitarias.,La OMS y el Banco Mundial convocaron a la Junta de Vigilancia Mundial de la Preparación ante Crisis, Sanitarias,Sanitarias,de,False, de,[259],False
charruaLLM,57,27,dev_gold,Crea fue la principal herramienta que utilizaron los docentes y alumnos en la educación virtual escolar.,Crea fue la principal herramienta que utilizaron los docentes y alumnos en la educación virtual, escolar,escolar,,False,.,[14],False
charruaLLM,58,271,dev_gold,Los hospitales psiquiátricos suspendieron las visitas y las actividades que implican circulación de personas durante la pandemia de coronavirus.,Los hospitales psiquiátricos suspendieron las visitas y las actividades que implican circulación de personas durante la pandemia de, coronavirus,coronavirus,coronavirus,True, coronavirus.,"[16045, 341, 4503, 14]",False
charruaLLM,59,275,dev_gold,163 estudiantes recibieron tarjetas de débito de la Udelar para comprar alimentos.,163 estudiantes recibieron tarjetas de débito de la Udelar para comprar, alimentos,alimentos,un,False, un,[295],False
charruaLLM,60,277,dev_gold,"La Udelar ofreció clases en vivo de pilates, gimnasia laboral, fitness, gimnasia para adultos mayores y gimnasia familiar en las redes sociales Facebook (bienestar.udelar) e Instagram (deportesbienestaruniversitario) para que los estudiantes no perdieran el vínculo con la universidad.","La Udelar ofreció clases en vivo de pilates, gimnasia laboral, fitness, gimnasia para adultos mayores y gimnasia familiar en las redes sociales Facebook (bienestar.udelar) e Instagram (deportesbienestaruniversitario) para que los estudiantes no perdieran el vínculo con la", universidad,universidad,comunidad,False, comunidad.,"[4632, 14]",False
charruaLLM,61,280,dev_gold,El cacerolazo fue una manifestación de respaldo a una batería de medidas propuestas para responder a la emergencia sanitaria.,El cacerolazo fue una manifestación de respaldo a una batería de medidas propuestas para responder a la emergencia, sanitaria,sanitaria,sanitaria,True, sanitaria.,"[12657, 14]",False
charruaLLM,62,282,dev_gold,La central de trabajadores esperaba una respuesta del Poder Ejecutivo.,La central de trabajadores esperaba una respuesta del Poder, Ejecutivo,Ejecutivo,"Ejecutivo,",False," Ejecutivo,","[2640, 12]",False
charruaLLM,63,283,dev_gold,El toque de queda impuesto por Perú impidió la repatriación de uruguayos varados en Perú.,El toque de queda impuesto por Perú impidió la repatriación de uruguayos varados en, Perú,Perú,el,False, el,[286],False
charruaLLM,64,292,dev_gold,Sebastián Piñera fue presidente chileno.,Sebastián Piñera fue presidente, chileno,chileno,de,False, de,[259],False
charruaLLM,65,298,dev_gold,El Frente Amplio presentó proyectos de ley para la emergencia sanitaria.,El Frente Amplio presentó proyectos de ley para la emergencia, sanitaria,sanitaria,"sanitaria,",False," sanitaria,","[12657, 12]",False
charruaLLM,66,302,dev_gold,Lucía Etcheverry perteneció al Movimiento de Participación Popular.,Lucía Etcheverry perteneció al Movimiento de Participación, Popular,Popular,Popular,True, Popular,[7551],False
charruaLLM,67,303,dev_gold,El Frente Amplio planteó un proyecto de flexibilización del seguro de paro.,El Frente Amplio planteó un proyecto de flexibilización del seguro de, paro,paro,paro,True, paro,[3555],False
charruaLLM,68,307,dev_gold,El Comité de Emergencia funcionaba día por medio o cada 72 horas.,El Comité de Emergencia funcionaba día por medio o cada 72, horas,horas,horas,True, horas.,"[1074, 14]",False
charruaLLM,69,309,dev_gold,Se mantuvo el aumento del IVA en las compras con débito y crédito.,Se mantuvo el aumento del IVA en las compras con débito y, crédito,crédito,"crédito,",False," crédito,","[4550, 12]",False
charruaLLM,70,310,dev_gold,Azucena Arbeleche fue ministra de Economía y Finanzas.,Azucena Arbeleche fue ministra de Economía y, Finanzas,Finanzas,"Finanzas,",False," Finanzas,","[7560, 12]",False
charruaLLM,71,316,dev_gold,"El aeropuerto Heathrow de Londres probó filas rápidas para pasajeros vacunados procedentes de Atenas, Nueva York y Los Ángeles.","El aeropuerto Heathrow de Londres probó filas rápidas para pasajeros vacunados procedentes de Atenas, Nueva York y Los", Ángeles,Ángeles,Ángeles,True, Ángeles.,"[7721, 14]",False
charruaLLM,72,317,dev_gold,Boris Johnson fue el primer ministro.,Boris Johnson fue el primer, ministro,ministro,ministro,True, ministro,[1329],False
charruaLLM,73,321,dev_gold,El gobierno británico se apoyó en su programa masivo de vacunación para levantar las restricciones anticovid.,El gobierno británico se apoyó en su programa masivo de vacunación para levantar las restricciones, anticovid,anticovid,de,False, de,[259],False
charruaLLM,74,322,dev_gold,Sajid Javid fue el ministro de Sanidad.,Sajid Javid fue el ministro de, Sanidad,Sanidad,Relaciones,False, Relaciones,[6597],False
charruaLLM,75,323,dev_gold,El gobierno británico buscó acercar a su nación a la vida normal al levantar las restricciones anticovid.,El gobierno británico buscó acercar a su nación a la vida normal al levantar las restricciones, anticovid,anticovid,de,False, de,[259],False
charruaLLM,76,327,dev_gold,"El Frente Amplio propuso suspender los cortes por atraso de pagos de UTE, OSE y Antel.","El Frente Amplio propuso suspender los cortes por atraso de pagos de UTE, OSE y", Antel,Antel,UTE,False, UTE.,"[6253, 14]",False
charruaLLM,77,328,dev_gold,El FA planteó que los refugios deberían estar abiertos 24 horas.,El FA planteó que los refugios deberían estar abiertos 24, horas,horas,horas,True, horas,[1074],False
charruaLLM,78,33,dev_gold,La primera tanda de uruguayos traídos al país viajó en un avión Brasilia de la Fuerza Aérea.,La primera tanda de uruguayos traídos al país viajó en un avión Brasilia de la Fuerza, Aérea,Aérea,Aérea,True, Aérea,[9308],False
charruaLLM,79,333,dev_gold,"Omar Paganini fue ministro de Industria, Energía y Minería de Uruguay.","Omar Paganini fue ministro de Industria, Energía y Minería de", Uruguay,Uruguay,Uruguay,True, Uruguay.,"[655, 14]",False
charruaLLM,80,337,dev_gold,"El primer punto de las medidas propuestas por el Sindicato Médico del Uruguay (SMU) fue una 'cuarentena general' y 'medidas drásticas de prevención', como el cierre de fronteras y de todo espacio público, incluyendo restaurantes y centros comerciales.","El primer punto de las medidas propuestas por el Sindicato Médico del Uruguay (SMU) fue una 'cuarentena general' y 'medidas drásticas de prevención', como el cierre de fronteras y de todo espacio público, incluyendo restaurantes y centros", comerciales,comerciales,de,False, de,[259],False
charruaLLM,81,339,dev_gold,La APU es la Asociación de la Prensa Uruguaya.,La APU es la Asociación de la Prensa, Uruguaya,Uruguaya,Uruguaya,True, Uruguaya,[4811],False
charruaLLM,82,34,dev_gold,Nicolás Martinelli fue autoridad del Mides.,Nicolás Martinelli fue autoridad del, Mides,Mides,equipo,False, equipo,[979],False
charruaLLM,83,344,dev_gold,El Mides trasladó al menos a 70 personas.,El Mides trasladó al menos a 70, personas,personas,personas,True, personas,[913],False
charruaLLM,84,347,dev_gold,Gabriel Cunha fue director de la División Programas de Personas en Situación de Calle.,Gabriel Cunha fue director de la División Programas de Personas en Situación de, Calle,Calle,Calidad,False, Calidad,"[337, 865]",False
charruaLLM,85,35,dev_gold,Verónica Alonso fue senadora,Verónica Alonso fue, senadora,senadora,el,False, el,[286],False
charruaLLM,86,350,dev_gold,"El Sarandí Hogar Valdense está ubicado en Colonia Valdense, departamento de Colonia.","El Sarandí Hogar Valdense está ubicado en Colonia Valdense, departamento de", Colonia,Colonia,"Colonia,",False," Colonia,","[4457, 12]",False
charruaLLM,87,355,dev_gold,La Intendencia de Montevideo tiene la facultad de prorrogar el vencimiento del pago de patentes de rodados.,La Intendencia de Montevideo tiene la facultad de prorrogar el vencimiento del pago de patentes de, rodados,rodados,rodados,True, rodados.,"[887, 3391, 14]",False
charruaLLM,88,358,dev_gold,Sebastián Bauzá fue el secretario nacional del Deporte.,Sebastián Bauzá fue el secretario nacional del, Deporte,Deporte,"Deporte,",False," Deporte,","[11764, 12]",False
charruaLLM,89,361,dev_gold,Sebastián Bauzá fue secretario nacional del Deporte.,Sebastián Bauzá fue secretario nacional del, Deporte,Deporte,Ministerio,False, Ministerio,[1627],False
charruaLLM,90,369,dev_gold,Se pretendió postergar las elecciones departamentales y municipales.,Se pretendió postergar las elecciones departamentales y, municipales,municipales,"municipales,",False," municipales,","[6788, 12]",False
charruaLLM,91,377,dev_gold,Nunzia Catalfo fue ministra de Trabajo italiana.,Nunzia Catalfo fue ministra de Trabajo, italiana,italiana,y,False, y,[290],False
charruaLLM,92,379,dev_gold,"El gobierno recibió dinero del Banco Interamericano de Desarrollo, el Banco Mundial, Fonplata y el Banco de Desarrollo Latinoamericano (ex Corporación Andina de Fomento, CAF).","El gobierno recibió dinero del Banco Interamericano de Desarrollo, el Banco Mundial, Fonplata y el Banco de Desarrollo Latinoamericano (ex Corporación Andina de Fomento,", CAF),CAF),que,False, que,[284],False
charruaLLM,93,38,dev_gold,El hotel Urban Express se encuentra en Andes y Uruguay.,El hotel Urban Express se encuentra en Andes y, Uruguay,Uruguay,en,False, en,[281],False
charruaLLM,94,386,dev_gold,Las comunidades autónomas españolas más afectadas por la pandemia fueron Madrid y Cataluña.,Las comunidades autónomas españolas más afectadas por la pandemia fueron Madrid y, Cataluña,Cataluña,"Barcelona,",False," Barcelona,","[3995, 12]",False
charruaLLM,95,387,dev_gold,Carmen Calvo fue la vicepresidenta primera del gobierno de España.,Carmen Calvo fue la vicepresidenta primera del gobierno de, España,España,la,False, la,[279],False
charruaLLM,96,388,dev_gold,El estado de alarma en España terminó en abril.,El estado de alarma en España terminó en, abril,abril,la,False, la,[279],False
charruaLLM,97,39,dev_gold,Verónica Alonso fue la esposa de Marcel Gerwer.,Verónica Alonso fue la esposa de Marcel, Gerwer,Gerwer,a,False,a,[65],False
charruaLLM,98,397,dev_gold,IM es la Intendencia de Montevideo.,IM es la Intendencia de, Montevideo,Montevideo,"Montevideo,",False," Montevideo,","[863, 12]",False
charruaLLM,99,398,dev_gold,"La Intendencia de Montevideo atiende al público a través de atención telefónica, correo electrónico y su sitio web.","La Intendencia de Montevideo atiende al público a través de atención telefónica, correo electrónico y su sitio", web,web,web,True, web.,"[2825, 14]",False
charruaLLM,100,4,dev_gold,Fernando Pereira fue presidente del PIT-CNT.,Fernando Pereira fue presidente del, PIT-CNT,PIT-CNT,Sindicato,False, Sindicato,[10039],False
charruaLLM,101,40,dev_gold,Marcel Gerwer es el esposo de Verónica Alonso.,Marcel Gerwer es el esposo de Verónica, Alonso,Alonso,",",False,",",[12],False
charruaLLM,102,401,dev_gold,Guido Manini Ríos fue el líder de Cabildo Abierto.,Guido Manini Ríos fue el líder de Cabildo, Abierto,Abierto,"Abierto,",False," Abierto,","[12699, 12]",False
charruaLLM,103,408,dev_gold,Barcelona fue uno de los epicentros del coronavirus en España.,Barcelona fue uno de los epicentros del coronavirus en, España,España,el,False, el,[286],False
charruaLLM,104,414,dev_gold,Dos tercios de la capacidad del estadio Wembley se habilitaron para las semifinales y la final de la Eurocopa.,Dos tercios de la capacidad del estadio Wembley se habilitaron para las semifinales y la final de la, Eurocopa,Eurocopa,Copa,False, Copa,[2171],False
charruaLLM,105,417,dev_gold,Los primeros casos de Covid en Uruguay se confirmaron un viernes 13.,Los primeros casos de Covid en Uruguay se confirmaron un viernes, 13,13,y,False, y,[290],False
charruaLLM,106,418,dev_gold,Las clases en Uruguay comenzaron después de la Semana de Turismo.,Las clases en Uruguay comenzaron después de la Semana de, Turismo,Turismo,la,False, la,[279],False
charruaLLM,107,42,dev_gold,El Mides gastó 9.600 pesos por persona en situación de calle que estuvo en el hotel Urban Express.,El Mides gastó 9.600 pesos por persona en situación de calle que estuvo en el hotel Urban, Express,Express,",",False,",",[12],False
charruaLLM,108,421,dev_gold,Pablo Orefice fue el director del programa salud.uy.,Pablo Orefice fue el director del programa, salud.uy,salud.uy,de,False, de,[259],False
charruaLLM,109,423,dev_gold,Se registraban unas 80 alertas de exposición por día a través de la app CoronavirusUY.,Se registraban unas 80 alertas de exposición por día a través de la app, CoronavirusUY,CoronavirusUY,de,False, de,[259],False
charruaLLM,110,425,dev_gold,La institución detrás de Salud.uy es la Agencia de Gobierno Electrónico y Sociedad de la Información y del Conocimiento (Agesic).,La institución detrás de Salud.uy es la Agencia de Gobierno Electrónico y Sociedad de la Información y del Conocimiento, (Agesic),(Agesic),"(Agesic),",False," (Agesic),","[403, 33, 6560, 304, 675]",False
charruaLLM,111,426,dev_gold,Agesic es la Agencia de Gobierno Electrónico y Sociedad de la Información y del Conocimiento.,Agesic es la Agencia de Gobierno Electrónico y Sociedad de la Información y del, Conocimiento,Conocimiento,Conocimiento,True, Conocimiento,"[975, 898, 735]",False
charruaLLM,112,430,dev_gold,Los trabajadores de la vía pública solicitaron el subsidio integral por los meses que duró la situación generada por la pandemia de coronavirus.,Los trabajadores de la vía pública solicitaron el subsidio integral por los meses que duró la situación generada por la pandemia de, coronavirus,coronavirus,coronavirus,True, coronavirus.,"[16045, 341, 4503, 14]",False
charruaLLM,113,432,dev_gold,Las elecciones departamentales y municipales no pudieron realizarse con normalidad debido a la emergencia sanitaria.,Las elecciones departamentales y municipales no pudieron realizarse con normalidad debido a la emergencia, sanitaria,sanitaria,sanitaria,True, sanitaria.,"[12657, 14]",False
charruaLLM,114,434,dev_gold,Los ministros de la Corte Electoral se reunieron.,Los ministros de la Corte Electoral se, reunieron,reunieron,reunieron,True, reunieron,[10341],False
charruaLLM,115,439,dev_gold,AEBU es la Asociación de Bancarios del Uruguay.,AEBU es la Asociación de Bancarios del, Uruguay,Uruguay,Uruguay,True, Uruguay,[655],False
charruaLLM,116,442,dev_gold,China ofrece insumos médicos a Uruguay para combatir el avance del coronavirus.,China ofrece insumos médicos a Uruguay para combatir el avance del, coronavirus,coronavirus,coronavirus,True, coronavirus.,"[16045, 341, 4503, 14]",False
charruaLLM,117,444,dev_gold,Luis Lacalle Pou fue presidente de Uruguay.,Luis Lacalle Pou fue presidente de, Uruguay,Uruguay,la,False, la,[279],False
charruaLLM,118,445,dev_gold,China implementó una cuarentena general en la ciudad de Wuhan y la provincia de Hubei para evitar la expansión del virus.,China implementó una cuarentena general en la ciudad de Wuhan y la provincia de Hubei para evitar la expansión del, virus,virus,coronavirus,False, coronavirus.,"[16045, 341, 4503, 14]",False
charruaLLM,119,446,dev_gold,China transmitió su experiencia en el manejo de la crisis sanitaria y económica.,China transmitió su experiencia en el manejo de la crisis sanitaria y, económica,económica,la,False, la,[279],False
