id,quales_id,quales_split,assertion,input,goal
46,24,dev_gold,Las clases se suspendieron a causa de la pandemia.,Las clases se suspendieron a causa de la, pandemia
47,241,dev_gold,Las partidas se financiaron por medio de la recaudación del Impuesto de Primaria.,Las partidas se financiaron por medio de la recaudación del Impuesto de, Primaria
48,243,dev_gold,"La investigación sobre anticuerpos fue realizada por una subsidiaria de la farmacéutica estatal Sinopharm, que produce dos de las vacunas aprobadas por el Gobierno chino, y el Centro Nacional de Investigación de Medicina Traslacional de la Universidad de Jiaotong.","La investigación sobre anticuerpos fue realizada por una subsidiaria de la farmacéutica estatal Sinopharm, que produce dos de las vacunas aprobadas por el Gobierno chino, y el Centro Nacional de Investigación de Medicina Traslacional de la Universidad de", Jiaotong
49,248,dev_gold,RBDIgG es un tipo de anticuerpo que indica la fortaleza de la inmunidad contra el coronavirus.,RBDIgG es un tipo de anticuerpo que indica la fortaleza de la inmunidad contra el, coronavirus
50,251,dev_gold,El PIT-CNT exigió una renta básica para los afectados por la crisis no comprendidos en la red de protección social.,El PIT-CNT exigió una renta básica para los afectados por la crisis no comprendidos en la red de protección, social
51,252,dev_gold,El PIT-CNT exigió una renta básica para aquellos afectados por la crisis que no estuvieran comprendidos en la red de protección social.,El PIT-CNT exigió una renta básica para aquellos afectados por la crisis que no estuvieran comprendidos en la red de protección, social
52,253,dev_gold,El PIT-CNT es la central de trabajadores.,El PIT-CNT es la central de, trabajadores
53,254,dev_gold,"El PIT-CNT reclamó flexibilizaciones en los vencimientos de las tarifas públicas, tributos, alquileres y tarjetas de crédito.","El PIT-CNT reclamó flexibilizaciones en los vencimientos de las tarifas públicas, tributos, alquileres y tarjetas de", crédito
54,26,dev_gold,La suspensión de clases rigió hasta que terminaron las vacaciones de turismo.,La suspensión de clases rigió hasta que terminaron las vacaciones de, turismo
55,261,dev_gold,Las casas de lotería fueron incluidas en la lista de servicios públicos y actividades esenciales mediante un decreto de Jair Bolsonaro.,Las casas de lotería fueron incluidas en la lista de servicios públicos y actividades esenciales mediante un decreto de Jair, Bolsonaro
56,269,dev_gold,La OMS y el Banco Mundial convocaron a la Junta de Vigilancia Mundial de la Preparación ante Crisis Sanitarias.,La OMS y el Banco Mundial convocaron a la Junta de Vigilancia Mundial de la Preparación ante Crisis, Sanitarias
57,27,dev_gold,Crea fue la principal herramienta que utilizaron los docentes y alumnos en la educación virtual escolar.,Crea fue la principal herramienta que utilizaron los docentes y alumnos en la educación virtual, escolar
58,271,dev_gold,Los hospitales psiquiátricos suspendieron las visitas y las actividades que implican circulación de personas durante la pandemia de coronavirus.,Los hospitales psiquiátricos suspendieron las visitas y las actividades que implican circulación de personas durante la pandemia de, coronavirus
59,275,dev_gold,163 estudiantes recibieron tarjetas de débito de la Udelar para comprar alimentos.,163 estudiantes recibieron tarjetas de débito de la Udelar para comprar, alimentos
60,277,dev_gold,"La Udelar ofreció clases en vivo de pilates, gimnasia laboral, fitness, gimnasia para adultos mayores y gimnasia familiar en las redes sociales Facebook (bienestar.udelar) e Instagram (deportesbienestaruniversitario) para que los estudiantes no perdieran el vínculo con la universidad.","La Udelar ofreció clases en vivo de pilates, gimnasia laboral, fitness, gimnasia para adultos mayores y gimnasia familiar en las redes sociales Facebook (bienestar.udelar) e Instagram (deportesbienestaruniversitario) para que los estudiantes no perdieran el vínculo con la", universidad
61,280,dev_gold,El cacerolazo fue una manifestación de respaldo a una batería de medidas propuestas para responder a la emergencia sanitaria.,El cacerolazo fue una manifestación de respaldo a una batería de medidas propuestas para responder a la emergencia, sanitaria
62,282,dev_gold,La central de trabajadores esperaba una respuesta del Poder Ejecutivo.,La central de trabajadores esperaba una respuesta del Poder, Ejecutivo
63,283,dev_gold,El toque de queda impuesto por Perú impidió la repatriación de uruguayos varados en Perú.,El toque de queda impuesto por Perú impidió la repatriación de uruguayos varados en, Perú
64,292,dev_gold,Sebastián Piñera fue presidente chileno.,Sebastián Piñera fue presidente, chileno
65,298,dev_gold,El Frente Amplio presentó proyectos de ley para la emergencia sanitaria.,El Frente Amplio presentó proyectos de ley para la emergencia, sanitaria
66,302,dev_gold,Lucía Etcheverry perteneció al Movimiento de Participación Popular.,Lucía Etcheverry perteneció al Movimiento de Participación, Popular
67,303,dev_gold,El Frente Amplio planteó un proyecto de flexibilización del seguro de paro.,El Frente Amplio planteó un proyecto de flexibilización del seguro de, paro
68,307,dev_gold,El Comité de Emergencia funcionaba día por medio o cada 72 horas.,El Comité de Emergencia funcionaba día por medio o cada 72, horas
69,309,dev_gold,Se mantuvo el aumento del IVA en las compras con débito y crédito.,Se mantuvo el aumento del IVA en las compras con débito y, crédito
70,310,dev_gold,Azucena Arbeleche fue ministra de Economía y Finanzas.,Azucena Arbeleche fue ministra de Economía y, Finanzas
71,316,dev_gold,"El aeropuerto Heathrow de Londres probó filas rápidas para pasajeros vacunados procedentes de Atenas, Nueva York y Los Ángeles.","El aeropuerto Heathrow de Londres probó filas rápidas para pasajeros vacunados procedentes de Atenas, Nueva York y Los", Ángeles
72,317,dev_gold,Boris Johnson fue el primer ministro.,Boris Johnson fue el primer, ministro
73,321,dev_gold,El gobierno británico se apoyó en su programa masivo de vacunación para levantar las restricciones anticovid.,El gobierno británico se apoyó en su programa masivo de vacunación para levantar las restricciones, anticovid
74,322,dev_gold,Sajid Javid fue el ministro de Sanidad.,Sajid Javid fue el ministro de, Sanidad
75,323,dev_gold,El gobierno británico buscó acercar a su nación a la vida normal al levantar las restricciones anticovid.,El gobierno británico buscó acercar a su nación a la vida normal al levantar las restricciones, anticovid
76,327,dev_gold,"El Frente Amplio propuso suspender los cortes por atraso de pagos de UTE, OSE y Antel.","El Frente Amplio propuso suspender los cortes por atraso de pagos de UTE, OSE y", Antel
77,328,dev_gold,El FA planteó que los refugios deberían estar abiertos 24 horas.,El FA planteó que los refugios deberían estar abiertos 24, horas
78,33,dev_gold,La primera tanda de uruguayos traídos al país viajó en un avión Brasilia de la Fuerza Aérea.,La primera tanda de uruguayos traídos al país viajó en un avión Brasilia de la Fuerza, Aérea
79,333,dev_gold,"Omar Paganini fue ministro de Industria, Energía y Minería de Uruguay.","Omar Paganini fue ministro de Industria, Energía y Minería de", Uruguay
80,337,dev_gold,"El primer punto de las medidas propuestas por el Sindicato Médico del Uruguay (SMU) fue una 'cuarentena general' y 'medidas drásticas de prevención', como el cierre de fronteras y de todo espacio público, incluyendo restaurantes y centros comerciales.","El primer punto de las medidas propuestas por el Sindicato Médico del Uruguay (SMU) fue una 'cuarentena general' y 'medidas drásticas de prevención', como el cierre de fronteras y de todo espacio público, incluyendo restaurantes y centros", comerciales
81,339,dev_gold,La APU es la Asociación de la Prensa Uruguaya.,La APU es la Asociación de la Prensa, Uruguaya
82,34,dev_gold,Nicolás Martinelli fue autoridad del Mides.,Nicolás Martinelli fue autoridad del, Mides
83,344,dev_gold,El Mides trasladó al menos a 70 personas.,El Mides trasladó al menos a 70, personas
84,347,dev_gold,Gabriel Cunha fue director de la División Programas de Personas en Situación de Calle.,Gabriel Cunha fue director de la División Programas de Personas en Situación de, Calle
85,35,dev_gold,Verónica Alonso fue senadora,Verónica Alonso fue, senadora
86,350,dev_gold,"El Sarandí Hogar Valdense está ubicado en Colonia Valdense, departamento de Colonia.","El Sarandí Hogar Valdense está ubicado en Colonia Valdense, departamento de", Colonia
87,355,dev_gold,La Intendencia de Montevideo tiene la facultad de prorrogar el vencimiento del pago de patentes de rodados.,La Intendencia de Montevideo tiene la facultad de prorrogar el vencimiento del pago de patentes de, rodados
88,358,dev_gold,Sebastián Bauzá fue el secretario nacional del Deporte.,Sebastián Bauzá fue el secretario nacional del, Deporte
89,361,dev_gold,Sebastián Bauzá fue secretario nacional del Deporte.,Sebastián Bauzá fue secretario nacional del, Deporte
90,369,dev_gold,Se pretendió postergar las elecciones departamentales y municipales.,Se pretendió postergar las elecciones departamentales y, municipales
91,377,dev_gold,Nunzia Catalfo fue ministra de Trabajo italiana.,Nunzia Catalfo fue ministra de Trabajo, italiana
92,379,dev_gold,"El gobierno recibió dinero del Banco Interamericano de Desarrollo, el Banco Mundial, Fonplata y el Banco de Desarrollo Latinoamericano (ex Corporación Andina de Fomento, CAF).","El gobierno recibió dinero del Banco Interamericano de Desarrollo, el Banco Mundial, Fonplata y el Banco de Desarrollo Latinoamericano (ex Corporación Andina de Fomento,", CAF)
93,38,dev_gold,El hotel Urban Express se encuentra en Andes y Uruguay.,El hotel Urban Express se encuentra en Andes y, Uruguay
94,386,dev_gold,Las comunidades autónomas españolas más afectadas por la pandemia fueron Madrid y Cataluña.,Las comunidades autónomas españolas más afectadas por la pandemia fueron Madrid y, Cataluña
95,387,dev_gold,Carmen Calvo fue la vicepresidenta primera del gobierno de España.,Carmen Calvo fue la vicepresidenta primera del gobierno de, España
96,388,dev_gold,El estado de alarma en España terminó en abril.,El estado de alarma en España terminó en, abril
97,39,dev_gold,Verónica Alonso fue la esposa de Marcel Gerwer.,Verónica Alonso fue la esposa de Marcel, Gerwer
98,397,dev_gold,IM es la Intendencia de Montevideo.,IM es la Intendencia de, Montevideo
99,398,dev_gold,"La Intendencia de Montevideo atiende al público a través de atención telefónica, correo electrónico y su sitio web.","La Intendencia de Montevideo atiende al público a través de atención telefónica, correo electrónico y su sitio", web
100,4,dev_gold,Fernando Pereira fue presidente del PIT-CNT.,Fernando Pereira fue presidente del, PIT-CNT
101,40,dev_gold,Marcel Gerwer es el esposo de Verónica Alonso.,Marcel Gerwer es el esposo de Verónica, Alonso
102,401,dev_gold,Guido Manini Ríos fue el líder de Cabildo Abierto.,Guido Manini Ríos fue el líder de Cabildo, Abierto
103,408,dev_gold,Barcelona fue uno de los epicentros del coronavirus en España.,Barcelona fue uno de los epicentros del coronavirus en, España
104,414,dev_gold,Dos tercios de la capacidad del estadio Wembley se habilitaron para las semifinales y la final de la Eurocopa.,Dos tercios de la capacidad del estadio Wembley se habilitaron para las semifinales y la final de la, Eurocopa
105,417,dev_gold,Los primeros casos de Covid en Uruguay se confirmaron un viernes 13.,Los primeros casos de Covid en Uruguay se confirmaron un viernes, 13
106,418,dev_gold,Las clases en Uruguay comenzaron después de la Semana de Turismo.,Las clases en Uruguay comenzaron después de la Semana de, Turismo
107,42,dev_gold,El Mides gastó 9.600 pesos por persona en situación de calle que estuvo en el hotel Urban Express.,El Mides gastó 9.600 pesos por persona en situación de calle que estuvo en el hotel Urban, Express
108,421,dev_gold,Pablo Orefice fue el director del programa salud.uy.,Pablo Orefice fue el director del programa, salud.uy
109,423,dev_gold,Se registraban unas 80 alertas de exposición por día a través de la app CoronavirusUY.,Se registraban unas 80 alertas de exposición por día a través de la app, CoronavirusUY
110,425,dev_gold,La institución detrás de Salud.uy es la Agencia de Gobierno Electrónico y Sociedad de la Información y del Conocimiento (Agesic).,La institución detrás de Salud.uy es la Agencia de Gobierno Electrónico y Sociedad de la Información y del Conocimiento, (Agesic)
111,426,dev_gold,Agesic es la Agencia de Gobierno Electrónico y Sociedad de la Información y del Conocimiento.,Agesic es la Agencia de Gobierno Electrónico y Sociedad de la Información y del, Conocimiento
112,430,dev_gold,Los trabajadores de la vía pública solicitaron el subsidio integral por los meses que duró la situación generada por la pandemia de coronavirus.,Los trabajadores de la vía pública solicitaron el subsidio integral por los meses que duró la situación generada por la pandemia de, coronavirus
113,432,dev_gold,Las elecciones departamentales y municipales no pudieron realizarse con normalidad debido a la emergencia sanitaria.,Las elecciones departamentales y municipales no pudieron realizarse con normalidad debido a la emergencia, sanitaria
114,434,dev_gold,Los ministros de la Corte Electoral se reunieron.,Los ministros de la Corte Electoral se, reunieron
115,439,dev_gold,AEBU es la Asociación de Bancarios del Uruguay.,AEBU es la Asociación de Bancarios del, Uruguay
116,442,dev_gold,China ofrece insumos médicos a Uruguay para combatir el avance del coronavirus.,China ofrece insumos médicos a Uruguay para combatir el avance del, coronavirus
117,444,dev_gold,Luis Lacalle Pou fue presidente de Uruguay.,Luis Lacalle Pou fue presidente de, Uruguay
118,445,dev_gold,China implementó una cuarentena general en la ciudad de Wuhan y la provincia de Hubei para evitar la expansión del virus.,China implementó una cuarentena general en la ciudad de Wuhan y la provincia de Hubei para evitar la expansión del, virus
119,446,dev_gold,China transmitió su experiencia en el manejo de la crisis sanitaria y económica.,China transmitió su experiencia en el manejo de la crisis sanitaria y, económica
120,448,dev_gold,Dos uruguayos estuvieron varados en Estados Unidos.,Dos uruguayos estuvieron varados en Estados, Unidos
121,456,dev_gold,La franja etárea con mayor cantidad de casos de coronavirus fue la de entre 55 y 64 años.,La franja etárea con mayor cantidad de casos de coronavirus fue la de entre 55 y 64, años
122,459,dev_gold,Daniel Salinas fue ministro de Salud Pública.,Daniel Salinas fue ministro de Salud, Pública
123,460,dev_gold,Carlos Batthyány fue director del Institut Pasteur de Montevideo.,Carlos Batthyány fue director del Institut Pasteur de, Montevideo
124,462,dev_gold,Las escuelas de todo el país reabrieron sus puertas.,Las escuelas de todo el país reabrieron sus, puertas
125,469,dev_gold,"Durante una cuarentena obligatoria, los trabajadores de las farmacias, de los supermercados y de la recolección de residuos seguían trabajando.","Durante una cuarentena obligatoria, los trabajadores de las farmacias, de los supermercados y de la recolección de residuos seguían", trabajando
126,47,dev_gold,Las charlas en vivo del Colectivo Gastronómico Uruguay se realizaron a través de Instagram.,Las charlas en vivo del Colectivo Gastronómico Uruguay se realizaron a través de, Instagram
127,470,dev_gold,El PIT-CNT es una central sindical.,El PIT-CNT es una central, sindical
128,471,dev_gold,400.000 trabajadores se quedaron sin ingresos durante la emergencia sanitaria.,400.000 trabajadores se quedaron sin ingresos durante la emergencia, sanitaria
129,472,dev_gold,Azucena Arbeleche fue ministra de Economía y Finanzas del Uruguay.,Azucena Arbeleche fue ministra de Economía y Finanzas del, Uruguay
130,476,dev_gold,Las tareas de cuidados recaen mayoritariamente en las mujeres.,Las tareas de cuidados recaen mayoritariamente en las, mujeres
131,477,dev_gold,Las mujeres y niñas migrantes corren riesgo de ser capturadas por redes de trata.,Las mujeres y niñas migrantes corren riesgo de ser capturadas por redes de, trata
132,478,dev_gold,"Durante la pandemia, el uso del transporte público en Montevideo disminuyó más del 60% en el día de menor cantidad de pasajeros.","Durante la pandemia, el uso del transporte público en Montevideo disminuyó más del 60% en el día de menor cantidad de", pasajeros
133,481,dev_gold,La Intendencia de Montevideo comunicó la reducción de la frecuencia del transporte público y la extensión de la validez del boleto de una hora en media hora.,La Intendencia de Montevideo comunicó la reducción de la frecuencia del transporte público y la extensión de la validez del boleto de una hora en media, hora
134,486,dev_gold,"El médico estaba habilitado a solicitar la prueba de coronavirus a cualquier persona que tuviera fiebre y presentara síntomas respiratorios, aunque no hubiera tenido contacto con un caso confirmado de Covid-19.","El médico estaba habilitado a solicitar la prueba de coronavirus a cualquier persona que tuviera fiebre y presentara síntomas respiratorios, aunque no hubiera tenido contacto con un caso confirmado de", Covid-19
135,49,dev_gold,"El acuerdo para los obreros de la construcción en relación a la pandemia fue financiado en un 30% por el Estado, un 50% por las cámaras empresariales y un 20% por los trabajadores.","El acuerdo para los obreros de la construcción en relación a la pandemia fue financiado en un 30% por el Estado, un 50% por las cámaras empresariales y un 20% por los", trabajadores
136,490,dev_gold,Alejandro Stipanicic fue presidente de ANCAP.,Alejandro Stipanicic fue presidente de, ANCAP
137,491,dev_gold,Pablo Caban fue gerente comercial de ALUR.,Pablo Caban fue gerente comercial de, ALUR
138,493,dev_gold,El Frente Amplio propuso crear un subsidio de 16.300 pesos.,El Frente Amplio propuso crear un subsidio de 16.300, pesos
139,494,dev_gold,El salario mínimo nacional fue de 16.300 pesos.,El salario mínimo nacional fue de 16.300, pesos
140,496,dev_gold,"Se sugirió diferir los vencimientos de la DGI y BPS de micro, pequeñas y medianas empresas por 60 días.","Se sugirió diferir los vencimientos de la DGI y BPS de micro, pequeñas y medianas empresas por 60", días
141,500,dev_gold,El Tour de Francia 2020 atravesó la ciudad de Niza.,El Tour de Francia 2020 atravesó la ciudad de, Niza
142,501,dev_gold,El Tour de Francia se corrió entre agosto y setiembre.,El Tour de Francia se corrió entre agosto y, setiembre
143,502,dev_gold,Egan Bernal ganó el Tour de Francia.,Egan Bernal ganó el Tour de, Francia
144,503,dev_gold,Christian Prudhomme fue director del Tour de Francia.,Christian Prudhomme fue director del Tour de, Francia
145,511,dev_gold,"Se debían realizar tests de diagnóstico de Covid-19 a todos los casos sospechosos, a todos los pacientes con sintomatología respiratoria, y especialmente a los trabajadores de la salud.","Se debían realizar tests de diagnóstico de Covid-19 a todos los casos sospechosos, a todos los pacientes con sintomatología respiratoria, y especialmente a los trabajadores de la", salud
146,513,dev_gold,La tasa de ataque es el número de personas que presentan una enfermedad en relación al número de personas expuestas a sufrirla en un período limitado y en condiciones especiales.,La tasa de ataque es el número de personas que presentan una enfermedad en relación al número de personas expuestas a sufrirla en un período limitado y en condiciones, especiales
147,515,dev_gold,"Las medidas necesarias para reducir la transmisión de Covid-19 incluyen el distanciamiento social, la cuarentena poblacional, el protocolo de aislamiento (cierre de escuelas, cancelación de eventos masivos, cierre de fronteras y exhortación a quedarse en domicilio), así como la reducción del riesgo individual y colectivo mediante el lavado de manos y toser en el pliegue del codo.","Las medidas necesarias para reducir la transmisión de Covid-19 incluyen el distanciamiento social, la cuarentena poblacional, el protocolo de aislamiento (cierre de escuelas, cancelación de eventos masivos, cierre de fronteras y exhortación a quedarse en domicilio), así como la reducción del riesgo individual y colectivo mediante el lavado de manos y toser en el pliegue del", codo
148,519,dev_gold,Los trabajadores informales no fueron contemplados en las medidas gubernamentales adoptadas durante la pandemia de COVID-19.,Los trabajadores informales no fueron contemplados en las medidas gubernamentales adoptadas durante la pandemia de, COVID-19
149,521,dev_gold,Alrededor de 400 funcionarios de la AUF fueron al seguro de paro.,Alrededor de 400 funcionarios de la AUF fueron al seguro de, paro
150,523,dev_gold,Ignacio Alonso fue presidente de la AUF.,Ignacio Alonso fue presidente de la, AUF
151,524,dev_gold,Óscar Tabárez fue director de la selección mayor de Uruguay.,Óscar Tabárez fue director de la selección mayor de, Uruguay
152,528,dev_gold,Lombardía es la región italiana que fue más afectada por el Coronavirus.,Lombardía es la región italiana que fue más afectada por el, Coronavirus
153,53,dev_gold,El artículo 7 de la Constitución protege la libertad de las personas.,El artículo 7 de la Constitución protege la libertad de las, personas
154,531,dev_gold,El preacuerdo impulsado para los trabajadores del SUNCA buscaba comenzar con una licencia especial por diez días hábiles.,El preacuerdo impulsado para los trabajadores del SUNCA buscaba comenzar con una licencia especial por diez días, hábiles
155,535,dev_gold,El SUNCA continuó trabajando en el preacuerdo luego de recibir la negativa del Ministerio de Trabajo y Seguridad Social.,El SUNCA continuó trabajando en el preacuerdo luego de recibir la negativa del Ministerio de Trabajo y Seguridad, Social
156,537,dev_gold,El primer fallecido por coronavirus en Uruguay fue una persona de 71 años.,El primer fallecido por coronavirus en Uruguay fue una persona de 71, años
157,538,dev_gold,El teléfono de apoyo para violencia de género es 0800 41 41 (o * 4141 por celular).,El teléfono de apoyo para violencia de género es 0800 41 41 (o * 4141 por, celular)
158,54,dev_gold,Las elecciones departamentales aplazadas por la pandemia de Covid-19 estaban previstas para mayo.,Las elecciones departamentales aplazadas por la pandemia de Covid-19 estaban previstas para, mayo
159,540,dev_gold,Mónica Bottero fue presidenta del Instituto Nacional de las Mujeres.,Mónica Bottero fue presidenta del Instituto Nacional de las, Mujeres
160,546,dev_gold,El Mides es el Ministerio de Desarrollo Social.,El Mides es el Ministerio de Desarrollo, Social
161,548,dev_gold,Los refugios nocturnos funcionaban desde las 18.00 hasta las 9.00.,Los refugios nocturnos funcionaban desde las 18.00 hasta las, 9.00
162,549,dev_gold,Pablo Bartol fue el Ministro de Desarrollo Social de Uruguay.,Pablo Bartol fue el Ministro de Desarrollo Social de, Uruguay
163,550,dev_gold,El colectivo 'Ni Todo Está Perdido (Nitep)' es un colectivo integrado por personas que viven en la calle.,El colectivo 'Ni Todo Está Perdido (Nitep)' es un colectivo integrado por personas que viven en la, calle
